"id","frame","x [nm]","y [nm]","z [nm]","uncertainty [nm]"
1.0,1.0,8672.98062046071,4243.837933852525,-36.29199001465841,386.44989312065627
2.0,2.0,8654.735356830219,4249.017451958179,-2.3266371052857675,370.7816620249346
3.0,3.0,8652.87685494182,4241.538458114832,-5.601621224215479,488.61673160840894
4.0,4.0,8666.605234035338,4242.519389243507,-52.364042935800995,499.2281715367681
5.0,5.0,8655.532607136736,4233.763679669432,11.057873172674935,349.0468822153123
6.0,6.0,8745.7053380916,4256.019669249694,196.8300939847835,840.6452891081589
7.0,6.0,9448.01741582695,4405.627860683883,-213.6636502215518,639.2764990325256
8.0,7.0,2273.6068820262262,9765.668017993465,486.07862713839705,1494.0228266151453
9.0,9.0,3380.339301420133,5188.860045917643,-140.00691993374286,466.7897395706835
10.0,10.0,3379.151047783576,5233.269289031073,-197.60770293815125,670.8251413000856
11.0,10.0,8656.953763056199,4238.300523516953,13.046516257427887,410.98270564590285
12.0,11.0,4035.0860115679684,3387.9647871461957,-470.0958397942619,1186.3262995851867
13.0,11.0,8668.99755508921,4242.362276627109,10.359161816969626,459.0043981093563
14.0,12.0,8668.674837487362,4241.424544992177,-6.023056646850421,361.6908356806127
15.0,13.0,8663.737830435297,4272.26874312256,-59.637379691078245,178.69610360057555
16.0,16.0,4882.691686047513,4600.645227666288,5.375612204078134,171.54170165446317
17.0,18.0,3029.423384952909,6989.942275271958,146.77209537488432,574.0698812190326
18.0,19.0,6640.169259082651,3842.3302759805806,-82.06590760806098,483.24016081907456
19.0,20.0,3109.6680455119554,6971.669193088968,156.2664246942814,616.3291821508739
20.0,20.0,7513.043485710404,3936.887972935345,-170.71881256030989,504.54831923678796
21.0,21.0,3040.870673846234,6964.289109594715,-73.98056447954315,20.974110223290264
22.0,21.0,7376.050647407657,3919.1364995715867,-46.3912201706529,859.324768922034
23.0,22.0,6645.709303350269,3828.48042422095,-485.3180517732575,1130.2810977135173
24.0,22.0,6555.734060484849,3942.9872302295707,-150.8649765945854,29.464808586537153
25.0,22.0,6305.3419385217785,4095.915679685485,-23.877565901653938,2.1420820267158254
26.0,22.0,6726.403837221728,3885.606265755191,-88.33169168974393,36.08692219725055
27.0,24.0,8345.483074814836,4165.022649813803,-144.3061683879279,266.49077190863784
28.0,25.0,8298.26912886573,4202.809522914459,-369.9123633458839,681.4674284592109
29.0,28.0,7348.676321842329,3900.0918796446267,11.128778465577957,1.8457368365412898
30.0,28.0,7402.651188964309,3891.3723082576184,-2.913627067896297,427.5889288990084
31.0,29.0,7398.858304537088,3892.9136424272315,11.616254653148587,454.52220326352915
32.0,30.0,7412.613013822497,3885.244447710436,-24.59234644318127,572.310819496419
33.0,31.0,3693.9186214616966,6024.947885026351,-58.856822325227085,473.35367355820546
34.0,31.0,7396.0299005070565,3895.083776004848,-3.6355301959904742,365.45816598927183
35.0,40.0,3254.5286109482845,5352.642270527571,-101.08079237102748,406.1944663313648
36.0,40.0,3864.839066942964,4035.614930514833,-278.3009869610485,647.5186411217402
37.0,50.0,2786.9437002371424,9464.129905681952,-196.55963308340566,655.5339210688472
38.0,51.0,5799.183269746351,4224.82633757308,13.799143037975558,442.4171129549585
39.0,52.0,5783.94313144806,4212.108213478639,-33.707676429193214,430.6870353535969
40.0,54.0,4385.582187022326,3561.0364869872355,-14.234701084028654,452.19879351829053
41.0,55.0,4357.462052890126,3572.786434454577,7.998483903495647,321.2911792295875
42.0,65.0,4371.993120805204,3562.903824765024,-20.055764614968606,477.00090974566683
43.0,67.0,3104.2425505057413,6209.416732609758,56.32064051999202,478.49750538978975
44.0,69.0,9258.141918593594,4623.7096002236285,62.26280871133714,158.71629547511048
45.0,71.0,3108.225206178341,5662.6681852828715,-37.64608864433427,420.5242702747327
46.0,71.0,7643.285012127234,4010.163424518401,-157.96037984446096,534.9676037586289
47.0,72.0,3164.138189434159,5619.83936982238,-237.99239979369443,1622.342061249368
48.0,72.0,3770.0899120886725,4871.273855395672,-190.50820770120978,756.5939877975727
49.0,73.0,9342.968026234203,4560.01179256526,3537.6988123161195,54.3783400025551
50.0,74.0,3806.3643285808566,4829.828181882311,-256.60522563207536,611.3723015425728
51.0,75.0,3116.7954675175456,5649.792821453865,-25.52785213769305,215.70653402906075
52.0,75.0,3100.050216092805,6064.004820254047,-671.6460831451756,1.8019164952476903
53.0,75.0,8386.647403085437,4096.953783794028,-90.21927995576326,10.533809936406907
54.0,76.0,3080.397365229535,5772.666425848653,-94.2431198720775,268.8456673560275
55.0,78.0,7135.255292436406,3876.85377489342,-10.043555247410863,493.33287923264857
56.0,79.0,9167.660013225699,4509.635210808009,-13.046108456990765,627.0328438807277
57.0,80.0,9261.467031557151,4587.464981089172,2.459254986641736,579.5202835248006
58.0,81.0,9270.823601929591,4560.917429786515,25.85402003372438,389.17935540020113
59.0,82.0,9245.710348293907,4560.292182346841,30.02297742481449,347.899316132175
60.0,86.0,9714.574533666811,4927.409254759825,16.48634808377923,239.4688820197981
61.0,90.0,3434.608720569211,5162.92032567605,-191.38625203468897,478.01727628619426
62.0,91.0,3316.7245629189347,5134.862789749348,131.68542644330867,1.3168954788478031
63.0,92.0,3401.894460522536,5078.227262867322,-111.07964217190029,188.47779329219009
64.0,95.0,2630.1013213804845,8539.984827629849,348.8904585409377,731.4118845305435
65.0,99.0,4245.855063494933,2293.139651771625,-394.58348594591735,1275.770240816167
66.0,100.0,2785.951125146048,9869.226767709448,-292.313408658416,607.3901602010544
67.0,100.0,4289.2925667754025,2417.5081097653956,-324.31804345571146,803.9259816026228
68.0,100.0,4388.423129713655,2632.2726445952103,-283.76576943332805,421.6123287801765
69.0,100.0,8575.313690459772,4193.9076085399865,50.995033463456366,168.45931679491528
70.0,101.0,8564.348583017636,4207.085527902073,30.405835546984513,370.0625556670753
71.0,103.0,8594.520322152906,4219.850975103846,-355.8455897173294,1051.3530440311615
72.0,105.0,2708.9887353562863,9589.748923856316,-264.40363204904617,6.428112399677624
73.0,105.0,6075.745732064929,3757.383052846221,-67.98509490767145,292.37202899493565
